codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550026900;VER-TRI-577PBL22;SHELL SPIRAX S4 CX 30 1x55GAL;000001;8;2022-12-29
550026919;VER-TRI-577PBL22;SHELL SPIRAX S3 ATF MD3 1x55GAL;000001;1;2022-12-29
550029925;VER-TRI-577PBL22;SHELL SPIRAX S2 A 80W-90 1x55GAL;000001;3;2022-12-29
550045838;VER-TRI-577PBL22;SHELL HELIX HX5 15W-40 SN 3x4L;000002;1313;2022-12-29
550045838;VER-TRI-577PBL22;SHELL HELIX HX5 15W-40 SN 3x4L;000002;192;2022-12-29
550053587;VER-TRI-577PBL22;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000001;744;2022-12-29
550053587;VER-TRI-577PBL22;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000001;768;2022-12-29
550053587;VER-TRI-577PBL22;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000001;150;2022-12-29
550057747;VER-TRI-577PBL22;SHELL HELIX HX7 SP 10W-30 1x209L;000001;2;2022-12-29
6560300055;VER-TRI-577PBL22;SHELL TURBO OIL T 46 1x55GAL;000001;1;2022-12-29
44774905;VER-TRI-537PBL22;SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L;000001;988;2022-12-13
44245855;VER-TRI-527PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;1296;2022-12-20
44245855;VER-TRI-526PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;1296;2022-12-16
44245855;VER-TRI-525PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;1296;2022-12-20
44245855;VER-TRI-524PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;1296;2022-12-16
44245855;VER-TRI-523PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;64;2022-12-16
44245855;VER-TRI-523PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;342;2022-12-16
40926905;VER-TRI-480PBL22;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;1760;2022-12-08
44245855;VER-TRI-479PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;1013;2022-12-08
44245855;VER-TRI-479PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000003;2;2022-12-08
44245855;VER-TRI-479PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000004;89;2022-12-08
44245855;VER-TRI-478PBL22;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;1246;2022-12-08
40926905;VER-TRI-477PBL22;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;1760;2022-12-07
45312905;VER-TRI-476PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-12-08
550022409;VER-TRI-045PBL23;SHELL CAPRINUS XR 40 1x209L;000001;94;2023-02-24
550045885;VER-TRI-045PBL23;SHELL HELIX HX5 20W-50 SN 6x1L;000001;1450;2023-02-24
