codigo;lote;cantidad;stock;cod_almacen;fecha_inicio;fecha_vence
550045838;VER-TRI-028PBL23;10;10;000004;2023-07-28;2023-07-28
QVU12R225;386PBL22;9;9;000003;2023-07-29;2023-07-29
44243809;VER-TRI-014PBL23;128;128;000002;2023-07-30;2023-07-30
QC-619;441PBL22;10000;10000;000001;2023-07-31;2023-07-31
QC-1100;441PBL22;50;50;000004;2023-08-01;2023-08-01
44245855;VER-TRI-527PBL22;1296;1296;000001;2023-08-02;2023-08-02
550049041;NAR-CIR-096PBL22;2141;2141;000001;2023-08-03;2023-08-03
QA-46932;040PBL23;1;1;000004;2023-08-04;2023-08-04
QL-57746;040PBL23;1;1;000004;2023-08-05;2023-08-05
45387905;BLA-TRI-491PBL22;161;161;000001;2023-08-06;2023-08-06
QL-51675;040PBL23;20;20;000001;2023-08-07;2023-08-07
QDM-G;00006191;81;81;000001;2023-08-08;2023-08-08
550032121;AMA-CIR-048PBL21;40;40;000001;2023-08-09;2023-08-09
QBD31580;035PBL23;158;138;000002;2023-08-10;2023-08-10
550022409;VER-TRI-045PBL23;94;94;000001;2023-08-11;2023-08-11
QBD29580;085PBL23;3;3;000003;2023-08-12;2023-08-12
43592855;AMA-CUA-125PBL22;422;422;000001;2023-08-13;2023-08-13
QDM-T;00002758;1;1;000001;2023-08-14;2023-08-14
550025702;VER-CUA-173PBL21;470;470;000001;2023-08-15;2023-08-15
QC-3583;441PBL22;50;50;000004;2023-08-16;2023-08-16
QA-9902;407PBL22;24;24;000004;2023-08-17;2023-08-17
550045885;NAR-TRI-379PBL22;3325;3325;000001;2023-08-18;2023-08-18
QRPR50-G;00008109;102;102;000001;2023-08-19;2023-08-19
QC-7612;441PBL22;50;50;000004;2023-08-20;2023-08-20
QL-51749;040PBL23;500;500;000001;2023-08-21;2023-08-21
QL-10158;224PBL22;2400;2400;000001;2023-08-22;2023-08-22
QD-10372;040PBL23;1;1;000004;2023-08-23;2023-08-23
45312905;AMA-CUA-123PBL22;1760;1760;000001;2023-08-24;2023-08-24
QDOT3-290;00008215;959;959;000001;2023-08-25;2023-08-25
QC-986;441PBL22;1700;1700;000001;2023-08-26;2023-08-26
QL-10358;159PBL22;1968;1968;000001;2023-08-27;2023-08-27
QL-51675;040PBL23;1;1;000004;2023-08-28;2023-08-28
QC-7729;536PBL22;239;239;000004;2023-08-29;2023-08-29
550059866;VER-TRI-045PBL23;613;263;000001;2023-08-30;2023-08-30
QL-51669;040PBL23;572;572;000001;2023-08-31;2023-08-31
QA-8004;159PBL22;12;12;000004;2023-09-01;2023-09-01
QC-3850;441PBL22;1000;1000;000001;2023-09-02;2023-09-02
QL-10295;159PBL22;12;12;000004;2023-09-03;2023-09-03
QAB7006009;457PBL22;28;28;000002;2023-09-04;2023-09-04
QL-10158;159PBL22;1626;1626;000001;2023-09-05;2023-09-05
550045885;NAR-TRI-378PBL22;3325;3325;000001;2023-09-06;2023-09-06
QRPR50-G;00008107;510;510;000001;2023-09-07;2023-09-07
QL-4967;407PBL22;8136;8136;000001;2023-09-08;2023-09-08
QL-10575;407PBL22;24;24;000004;2023-09-09;2023-09-09
44245809;079PBL23;64;64;000001;2023-09-10;2023-09-10
550052219;VER-TRI-029PBL23;8;8;000001;2023-09-11;2023-09-11
550050706;MALO492PBL22;1;1;000004;2023-09-12;2023-09-12
QL-4967;407PBL22;12;12;000004;2023-09-13;2023-09-13
QL-6607;407PBL22;24;24;000004;2023-09-14;2023-09-14
45372809;MALO577PBL22;27;27;000004;2023-09-15;2023-09-15
550027265;MALO557PBL21;9;9;000004;2023-09-16;2023-09-16
QRHTV-G;00008224;1235;1099;000001;2023-09-17;2023-09-17
QD-6904;407PBL22;24;24;000004;2023-09-18;2023-09-18
550025702;VER-CUA-090PBL21;24;24;000004;2023-09-19;2023-09-19
QL-57746;040PBL23;644;644;000001;2023-09-20;2023-09-20
550036571;AZU-CUA-247PBL21;12;12;000001;2023-09-21;2023-09-21
QA-9683;407PBL22;2;2;000004;2023-09-22;2023-09-22
QA-46932;040PBL23;32;32;000001;2023-09-23;2023-09-23
QRHTV-L;00009395;219;131;000001;2023-09-24;2023-09-24
550043380;NAR-CUA-477PBL21;48;48;000001;2023-09-25;2023-09-25
45312905;AMA-CUA-113PBL22;1760;1760;000001;2023-09-26;2023-09-26
QEO-350;00006191;105;105;000001;2023-09-27;2023-09-27
550025702;VER-CUA-173PBL21;90;90;000004;2023-09-28;2023-09-28
550026697;VER-TRI-044PBL23;840;840;000001;2023-09-29;2023-09-29
QC-3727;441PBL22;50;50;000004;2023-09-30;2023-09-30
550045853;BLA-TRI-528PBL22;1680;1680;000001;2023-10-01;2023-10-01
44243809;VER-TRI-020PBL23;89;89;000002;2023-10-02;2023-10-02
QL-9814;224PBL22;2112;2112;000001;2023-10-03;2023-10-03
QA-10755;407PBL22;24;24;000004;2023-10-04;2023-10-04
550045885;297PBL22;2;2;000004;2023-10-05;2023-10-05
550045885;NAR-TRI-310PBL22;3325;2611;000001;2023-10-06;2023-10-06
550027680;VER-TRI-029PBL23;2;2;000001;2023-10-07;2023-10-07
550052774;AZU-CUA-247PBL21;10;10;000001;2023-10-08;2023-10-08
QL-10158;407PBL22;3600;3600;000001;2023-10-09;2023-10-09
QD-6905;407PBL22;24;24;000004;2023-10-10;2023-10-10
QAC-L;00003671;159;159;000001;2023-10-11;2023-10-11
QL-3614;407PBL22;18;18;000004;2023-10-12;2023-10-12
QAE80320525;457PBL22;2;2;000002;2023-10-13;2023-10-13
550045853;BLA-TRI-464PBL22;1680;1680;000001;2023-10-14;2023-10-14
QAB7005008;457PBL22;20;20;000002;2023-10-15;2023-10-15
QL-10060;407PBL22;24;24;000004;2023-10-16;2023-10-16
550050102;BLA-TRI-528PBL22;1544;1544;000001;2023-10-17;2023-10-17
550045885;NAR-TRI-345PBL22;3325;3325;000001;2023-10-18;2023-10-18
QVU12R225;386PBL22;90;60;000002;2023-10-19;2023-10-19
AOT185R14;571PBL22;12;12;000003;2023-10-20;2023-10-20
550054547;AZU-CUA-247PBL21;24;24;000001;2023-10-21;2023-10-21
QL-51429;040PBL23;308;308;000001;2023-10-22;2023-10-22
QL-10358;224PBL22;2400;2400;000001;2023-10-23;2023-10-23
QC-1010;441PBL22;50;50;000004;2023-10-24;2023-10-24
550045853;MOR-TRI-421PBL22;442;362;000001;2023-10-25;2023-10-25
QL-51669;040PBL23;1;1;000004;2023-10-26;2023-10-26
550057749;112PBL23;1139;789;000001;2023-10-27;2023-10-27
550025731;MOR-TRI-421PBL22;48;48;000001;2023-10-28;2023-10-28
550054282;MALO146PBL22;1;1;000004;2023-10-29;2023-10-29
550049041;MALO096PBL22;32;32;000004;2023-10-30;2023-10-30
44243809;VER-TRI-019PBL23;128;128;000001;2023-10-31;2023-10-31
QA-91485;407PBL22;24;24;000004;2023-11-01;2023-11-01
QSH-T;00002758;3;3;000001;2023-11-02;2023-11-02
QC-619;441PBL22;50;50;000004;2023-11-03;2023-11-03
QL-51748;040PBL23;1;1;000004;2023-11-04;2023-11-04
QBD31580;035PBL23;1;1;000003;2023-11-05;2023-11-05
550045885;MOR-TRI-400PBL22;3325;3325;000001;2023-11-06;2023-11-06
550045838;VER-TRI-028PBL23;1367;1367;000002;2023-11-07;2023-11-07
6560500055;MALO252PBL22;3;3;000004;2023-11-08;2023-11-08
45312905;NAR-TRI-321PBL22;1760;1760;000001;2023-11-09;2023-11-09
550036571;AZU-CUA-00000599;19;19;000001;2023-11-10;2023-11-10
QC-1083;441PBL22;50;50;000004;2023-11-11;2023-11-11
QRPV50-G;00009497;408;408;000001;2023-11-12;2023-11-12
QL-4967;407PBL22;42240;42240;000001;2023-11-13;2023-11-13
550057767;112PBL23;2;2;000004;2023-11-14;2023-11-14
QC-3850;441PBL22;4;4;000004;2023-11-15;2023-11-15
QRPR50-G;00007995;374;374;000001;2023-11-16;2023-11-16
QC-645A;441PBL22;50;50;000004;2023-11-17;2023-11-17
550026699;BLA-TRI-463PBL22;24;24;000001;2023-11-18;2023-11-18
QL-10295;159PBL22;2208;2208;000001;2023-11-19;2023-11-19
QL-9814;407PBL22;3600;3600;000001;2023-11-20;2023-11-20
QL-3690;224PBL22;12;12;000004;2023-11-21;2023-11-21
QRPR50-G;00007614;132;132;000002;2023-11-22;2023-11-22
45312905;BLA-TRI-504PBL22;1760;1760;000001;2023-11-23;2023-11-23
550049814;VER-TRI-029PBL23;1577;1402;000001;2023-11-24;2023-11-24
550049771;BLA-TRI-464PBL22;1665;1313;000001;2023-11-25;2023-11-25
QD-8429;040PBL23;2060;2060;000001;2023-11-26;2023-11-26
QAT28575R16;053PBL23;26;6;000002;2023-11-27;2023-11-27
QC-3641;441PBL22;400;400;000001;2023-11-28;2023-11-28
QC-3583;441PBL22;700;700;000001;2023-11-29;2023-11-29
