COD;DESC;BR;CAT
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;2;6
41051905;SHELL HELIX HX8 PRO AG 0W-20 CX 12x1L;2;6
41068905;SHELL HELIX ULTRA 5W-40 SN 12x1L;2;6
43509809;SHELL HELIX HX5 15W-40 SL TB 209L;1;6
43509905;SHELL HELIX HX5 15W-40 SL 12x1L;2;6
43512905;SHELL HELIX HX5 15W-40 SL 12x1L;2;6
43592855;SHELL SPIRAX S2 A 90 1x20L;3;6
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;1;6
44243855;SHELL RIMULA R4 X 15W-40 CI-4 1x20L;3;6
44245809;SHELL RIMULA R2 50 TB 209L EXPO;1;6
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;3;6
44414855;SHELL RIMULA RT4 X 15W-40 CI-4 1x20L;3;6
44774905;SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L;2;6
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;2;6
45372809;SHELL SPIRAX S2 A 85W-140 TB 209L EXPO;1;6
45372855;SHELL SPIRAX S2 A 85W-140 1x20L;3;6
45372905;SHELL SPIRAX S2 A 85W-140 12x1L EXPO;2;6
45387905;SHELL SPIRAX S2 A 80W-90 12x1L EXPO;2;6
45657855;SHELL OMALA S2 G 100 1x20L;3;6
45659855;SHELL OMALA S2 G 220 1x20L;3;6
45660855;SHELL OMALA S2 G 320 1x20L;3;6
45683809;SHELL OMALA S2 G 220 EXPO TB 209L;1;6
45684809;SHELL OMALA S2 G 320 EXPO TB 209L;1;6
45685855;SHELL OMALA S2 G 460 1x20L;3;6
500000214;SHELL CATENEX T 121 BULK;5;6
550014136;SHELL CATENEX T 121 1x209L;1;6
550022409;SHELL CAPRINUS XR 40 1x209L;1;6
550022488;SHELL MELINA S 30 1x55GAL;1;6
550025692;SHELL REFRIGERATION OIL S2 FR-A 68 1x20L;3;6
550025702;SHELL REFRIGERATION OIL S4 FR-V 68 1x20L;3;6
550025731;SHELL HEAT TRANSFER S2  1x209L;1;6
550026300;SHELL CORENA S4 R 68 1x5GAL;3;6
550026301;SHELL CORENA S2 P 100 1X5GAL;3;6
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;3;6
550026699;SHELL HYDRAULIC S1 M 68 1x55GAL;1;6
550026700;SHELL HYDRAULIC S1 M 46 1x5GAL;3;6
550026710;SHELL HYDRAULIC S1 M 46 1x55GAL;1;6
550026834;SHELL REFRIGERATION OIL S2 FR-A 68 1x55GAL;1;6
550026891;SHELL SPIRAX S4 TXM 1x5GAL;3;6
550026900;SHELL SPIRAX S4 CX 30 1x55GAL;1;6
550026902;SHELL SPIRAX S4 TXM 1x55GAL;1;6
550026907;SHELL SPIRAX S4 CX 50 1x55GAL;1;6
550026919;SHELL SPIRAX S3 ATF MD3 1x55GAL;1;6
550027265;SHELL CORENA S4 P 100 1x20L;3;6
550027631;SHELL GADUS S2 V220 2 AIWJ 10x0.4KG;2;5
550027680;SHELL GADUS S3 V460D 2 1x180KG;1;5
550029925;SHELL SPIRAX S2 A 80W-90 1x55GAL;1;6
550032121;SHELL RISELLA X 415 1x209L;1;6
550036183;SHELL MYSELLA S3 N 40 1x55GAL;1;6
550036571;SHELL MYSELLA S2 Z 40 1x55GAL;1;6
550038020;SHELL RIMULA R4X 15W-40 TB 209L EXPO;1;6
550043380;SHELL TURBO S4 GX 32 1x55GAL;1;6
550044601;SHELL RIMULA R2 50 TB 209L;1;6
550045415;SHELL TELLUS S2 MX 68 1x5GAL;3;6
550045436;SHELL RIMULA R4 X 15W-40 3x4L;2;6
550045438;SHELL RIMULA R5 E 10W-40 3x4L;2;6
550045838;SHELL HELIX HX5 15W-40 SN 3x4L;2;6
550045853;SHELL HELIX HX5 20W-50 SN 3x4L;2;6
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;2;6
550045901;SHELL HELIX HX5 15W-40 SN 6x1L;2;6
550045905;SHELL HELIX HX7 10W-40 A1W9 6x1L;2;6
550047075;SHELL GADINIA S3 40 1x55GAL;1;6
550047079;SHELL ARGINA S4 40 1x55GAL;1;6
550047182;SHELL OMALA S2 G 150 1X209L;1;6
550047184;SHELL OMALA S2 G 460 1x209L;1;6
550047744;SHELL TELLUS S2 VX 68 1x975L;4;6
550049041;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;2;6
550049771;SHELL NAUTILUS PREMIUM OUTB 2T 6x1L;2;6
550049811;SHELL SPIRAX S2 A 80W-90 6x1L;2;6
550049812;SHELL SPIRAX S2 A 85W-140 6x1L;2;6
550049814;SHELL SPIRAX S3 ATF MD3 6x1L;2;6
550050052;SHELL SPIRAX S6 ATF X 6x1L;2;6
550050102;SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L;2;6
550050706;SHELL GADUS S2 V220AC 2 1x18KG;3;5
550050708;SHELL GADUS S2 V220AD 2 1x18KG;3;5
550052035;SHELL HELIX ULTRA 5W-40 SN CX 6x1L;2;6
550052038;SHELL HELIX HX7 10W-30 SN PLUS 6x1L;2;6
550052219;SHELL GADUS S2 OG 40 1x190KG;1;5
550052774;SHELL ALEXIA 40 1x55GAL;1;6
550052775;SHELL ALEXIA 70 1x55GAL;1;6
550053426;SHELL HELIX HX5 20W-50 SN 1x209L;1;6
550053587;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;2;6
550054282;SHELL RIMULA R4 X 15W-40 1x5GAL;3;6
550054547;SHELL ARGINA S2 40 1x55GAL;1;6
550056833;SHELL SPIRAX S5 CVT X 12x1L;2;6
550057742;SHELL HELIX ULTRA 5W-40 6x1L;2;6
550057747;SHELL HELIX HX7 SP 10W-30 1x209L;1;6
550057749;SHELL HELIX HX7 SP 10W-30 6x1L;2;6
550057767;SHELL HELIX HX7 SP 10W-40 6x1L;2;6
550059865;SHELL ADVANCE 4T AX7 10W-40 SN/MA2 6x1L;2;6
550059866;SHELL ADVANCE AX7 15W-50 SN/MA2 6x1L;2;6
6560200055;SHELL TURBO OIL T 32 1x55GAL;1;6
6560300055;SHELL TURBO OIL T 46 1x55GAL;1;6
6560500055;SHELL TURBO T OIL 68 1x55GAL;1;6
AOT185R14;AOTELI 185/65R14 P307;6;1
DK1856514;DOUBLE KING 185/65R14 DK298;6;1
DK1956015;DOUBLE KING 195/60R15 DK558;6;1
QA-1010;TOYOTA TERIOS BE-GO;6;2
QA-10190;TOYOTA COROLLA XEI / GLI 2008-2012;6;2
QA-10242;FORD EXPLORER 2011-2013;6;2
QA-10262;FORD EXPEDITION 2009/ F-150 / F-250 / F-350 2007-2012;6;2
QA-10755;JEEP GRAND CHEROKEE 2011-2014, MITSUBISHI L200 DIESEL;6;2
QA-10835;TOYOTA 4RUNNER 2014-2018;6;2
QA-1111;CHERY ORINOCO 4L 1.8L (AUTOMÁTICO);6;2
QA-1211;CHERY ARAUCA A1 4L 1.3L;6;2
QA-2222;FORD ECOSPORT 1.6L /FIESTA POWER 1.6L, MOVE, MAX;6;2
QA-46357;NKR (SIN TURBO), NPR 3.9, NPR 66L CABIN;6;3
QA-46932;NPR (CON TURBO), MITSUBISHI CANTER (CON TURBO);6;3
QA-5700;NISSAN FRONTIER 2005 - 2014;6;2
QA-6558;MAZDA BT-50;6;2
QA-8000;HYUNDAI TUCSON (2005-2009) / KIA SPORTAGE (2005-2009);6;2
QA-8004;FORD EXPEDITION / F-150 / F-350;6;2
QA-8208;MITSUBISHI LANCER TOURING 2003-2015/ MIRAGE;6;2
QA-9074;RENAULT LOGAN / KANGOO /SYMBOL;6;2
