codigo;descripcion;almacen;lote;stock;fecha
550026900;SHELL SPIRAX S4 CX 30 1x55GAL;000001;VER-TRI-577PBL22;8;2022-12-29
550026919;SHELL SPIRAX S3 ATF MD3 1x55GAL;000001;VER-TRI-577PBL22;1;2022-12-29
550029925;SHELL SPIRAX S2 A 80W-90 1x55GAL;000001;VER-TRI-577PBL22;3;2022-12-29
550045838;SHELL HELIX HX5 15W-40 SN 3x4L;000002;VER-TRI-577PBL22;1505;2022-12-29
550053587;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000001;VER-TRI-577PBL22;1662;2022-12-29
550057747;SHELL HELIX HX7 SP 10W-30 1x209L;000001;VER-TRI-577PBL22;2;2022-12-29
6560300055;SHELL TURBO OIL T 46 1x55GAL;000001;VER-TRI-577PBL22;1;2022-12-29
44774905;SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L;000001;VER-TRI-537PBL22;988;2022-12-13
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;VER-TRI-527PBL22;1296;2022-12-20
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;VER-TRI-526PBL22;1296;2022-12-16
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;VER-TRI-525PBL22;1296;2022-12-20
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;VER-TRI-524PBL22;1296;2022-12-16
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000001;VER-TRI-523PBL22;64;2022-12-16
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;VER-TRI-523PBL22;342;2022-12-16
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;VER-TRI-480PBL22;1760;2022-12-08
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;VER-TRI-479PBL22;1013;2022-12-08
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000003;VER-TRI-479PBL22;2;2022-12-08
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000004;VER-TRI-479PBL22;89;2022-12-08
44245855;SHELL RIMULA R2 50 FR 1x20L EXPO;000002;VER-TRI-478PBL22;1246;2022-12-08
40926905;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000001;VER-TRI-477PBL22;1760;2022-12-07
45312905;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;VER-TRI-476PBL22;1760;2022-12-08
550022409;SHELL CAPRINUS XR 40 1x209L;000001;VER-TRI-045PBL23;94;2023-02-24
550045885;SHELL HELIX HX5 20W-50 SN 6x1L;000001;VER-TRI-045PBL23;1450;2023-02-24
550045901;SHELL HELIX HX5 15W-40 SN 6x1L;000001;VER-TRI-045PBL23;1845;2023-02-24
550050102;SHELL HELIX HX8 PROFESSIONAL AG 5W-30 6x1L;000001;VER-TRI-045PBL23;1575;2023-02-24
550059865;SHELL ADVANCE 4T AX7 10W-40 SN/MA2 6x1L;000001;VER-TRI-045PBL23;1662;2023-02-24
550059866;SHELL ADVANCE AX7 15W-50 SN/MA2 6x1L;000001;VER-TRI-045PBL23;438;2023-02-24
550026697;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;VER-TRI-044PBL23;2520;2023-02-16
550045436;SHELL RIMULA R4 X 15W-40 3x4L;000001;VER-TRI-044PBL23;0;2023-02-16
550026301;SHELL CORENA S2 P 100 1X5GAL;000001;VER-TRI-035PBL22;25;2020-01-01
550027680;SHELL GADUS S3 V460D 2 1x180KG;000001;VER-TRI-029PBL23;2;2023-01-27
550049811;SHELL SPIRAX S2 A 80W-90 6x1L;000001;VER-TRI-029PBL23;0;2023-01-27
550049812;SHELL SPIRAX S2 A 85W-140 6x1L;000001;VER-TRI-029PBL23;875;2023-01-27
550049814;SHELL SPIRAX S3 ATF MD3 6x1L;000001;VER-TRI-029PBL23;1402;2023-01-27
550052219;SHELL GADUS S2 OG 40 1x190KG;000001;VER-TRI-029PBL23;8;2023-01-27
550045838;SHELL HELIX HX5 15W-40 SN 3x4L;000001;VER-TRI-028PBL23;1833;2023-01-27
550045838;SHELL HELIX HX5 15W-40 SN 3x4L;000002;VER-TRI-028PBL23;1367;2023-01-27
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000001;VER-TRI-024PBL23;128;2023-02-24
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000002;VER-TRI-023PBL23;128;2023-02-24
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000001;VER-TRI-022PBL23;127;2023-02-24
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000001;VER-TRI-021PBL23;128;2023-02-24
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000001;VER-TRI-020PBL23;0;2023-02-24
44243809;SHELL RIMULA R4X 15W-40 TB 209L EXPO;000002;VER-TRI-020PBL23;89;2023-02-24
