"id";"id_categoria";"id_brand";"id_umbral";"codigo";"referencia";"descripcion";"cantidad";"tipo"
"1";"1";"1";"2";"40926905";"40926905";"SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L";"0";""
"2";"1";"1";"2";"41051905";"41051905";"SHELL HELIX HX8 PRO AG 0W-20 CX 12x1L";"0";""
"3";"1";"1";"2";"41068905";"41068905";"SHELL HELIX ULTRA 5W-40 SN 12x1L";"0";""
"4";"1";"2";"10";"43509809";"43509809";"SHELL HELIX HX5 15W-40 SL TB 209L";"0";""
"5";"1";"1";"2";"43509905";"43509905";"SHELL HELIX HX5 15W-40 SL 12x1L";"0";""
"6";"1";"1";"2";"43512905";"43512905";"SHELL HELIX HX5 15W-40 SL 12x1L";"0";""
"7";"1";"3";"17";"43592855";"43592855";"SHELL SPIRAX S2 A 90 17";"0";""
"8";"1";"2";"10";"44243809";"44243809";"SHELL RIMULA R4X 15W-40 TB 209L EXPO";"0";""
"9";"1";"3";"17";"44243855";"44243855";"SHELL RIMULA R4 X 15W-40 CI-4 17";"0";""
"10";"1";"2";"10";"44245809";"44245809";"SHELL RIMULA R2 50 TB 209L EXPO";"0";""
"11";"1";"3";"17";"44245855";"44245855";"SHELL RIMULA R2 50 FR 17 EXPO";"0";""
"12";"1";"3";"17";"44414855";"44414855";"SHELL RIMULA RT4 X 15W-40 CI-4 17";"0";""
"13";"1";"1";"2";"44774905";"44774905";"SHELL ADVANCE 4T AX7 10W-40 SM/MA2 CX 12x1L";"0";""
"14";"1";"1";"2";"45312905";"45312905";"SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L";"0";""
"15";"1";"2";"10";"45372809";"45372809";"SHELL SPIRAX S2 A 85W-140 TB 209L EXPO";"0";""
"16";"1";"3";"17";"45372855";"45372855";"SHELL SPIRAX S2 A 85W-140 17";"0";""
"17";"1";"1";"2";"45372905";"45372905";"SHELL SPIRAX S2 A 85W-140 12x1L EXPO";"0";""
"18";"1";"1";"2";"45387905";"45387905";"SHELL SPIRAX S2 A 80W-90 12x1L EXPO";"0";""
"19";"1";"3";"17";"45657855";"45657855";"SHELL OMALA S2 G 100 17";"0";""
"20";"1";"3";"17";"45659855";"45659855";"SHELL OMALA S2 G 220 17";"0";""
"21";"1";"3";"17";"45660855";"45660855";"SHELL OMALA S2 G 320 17";"0";""
"22";"1";"2";"10";"45683809";"45683809";"SHELL OMALA S2 G 220 EXPO TB 209L";"0";""
"23";"1";"2";"10";"45684809";"45684809";"SHELL OMALA S2 G 320 EXPO TB 209L";"0";""
"24";"1";"3";"17";"45685855";"45685855";"SHELL OMALA S2 G 460 17";"0";""
"25";"1";"4";"15";"500000214";"500000214";"SHELL CATENEX T 121 BULK";"0";""
"26";"1";"2";"10";"550014136";"550014136";"SHELL CATENEX T 121 1x209L";"0";""
"27";"1";"2";"10";"550022409";"550022409";"SHELL CAPRINUS XR 40 1x209L";"0";""
"28";"1";"2";"11";"550022488";"550022488";"SHELL MELINA S 30 1x55GAL";"0";""
"29";"1";"3";"17";"550025692";"550025692";"SHELL REFRIGERATION OIL S2 FR-A 68 17";"0";""
"30";"1";"3";"17";"550025702";"550025702";"SHELL REFRIGERATION OIL S4 FR-V 68 17";"0";""
"31";"1";"2";"10";"550025731";"550025731";"SHELL HEAT TRANSFER S2  1x209L";"0";""
"32";"1";"3";"18";"550026300";"550026300";"SHELL CORENA S4 R 68 18";"0";""
"33";"1";"3";"18";"550026301";"550026301";"SHELL CORENA S2 P 100 18";"0";""
"34";"1";"3";"18";"550026697";"550026697";"SHELL HYDRAULIC S1 M 68 18";"0";""
"35";"1";"2";"11";"550026699";"550026699";"SHELL HYDRAULIC S1 M 68 1x55GAL";"0";""
"36";"1";"3";"18";"550026700";"550026700";"SHELL HYDRAULIC S1 M 46 18";"0";""
"37";"1";"2";"11";"550026710";"550026710";"SHELL HYDRAULIC S1 M 46 1x55GAL";"0";""
"38";"1";"2";"11";"550026834";"550026834";"SHELL REFRIGERATION OIL S2 FR-A 68 1x55GAL";"0";""
"39";"1";"3";"18";"550026891";"550026891";"SHELL SPIRAX S4 TXM 18";"0";""
"40";"1";"2";"11";"550026900";"550026900";"SHELL SPIRAX S4 CX 30 1x55GAL";"0";""
